property_title,location,number_of_rooms,price,size,listing_type
9836 YOAKUM DR,9836 YOAKUM DR,"{'bathstotal': 1.0, 'beds': 2}","{'saleamt': 825000, 'salecode': 'SALE PRICE (FULL) Full sales price as per documents', 'salerecdate': '2016-07-28', 'saledisclosuretype': 0, 'saledoctype': 'DEED', 'saledocnum': '0000886610', 'saletranstype': 'Resale'}",674,sale
13345 MULHOLLAND DR,13345 MULHOLLAND DR,"{'bathstotal': 2.0, 'beds': 2}","{'saleamt': 355000, 'salecode': 'SALE PRICE (FULL) Full sales price as per documents', 'salerecdate': '2011-12-08', 'saledisclosuretype': 0, 'saledoctype': 'DEED', 'saledocnum': '0001661989', 'saletranstype': 'Resale'}",,sale
2840 N BEVERLY DR,2840 N BEVERLY DR,"{'bathstotal': 8.0, 'beds': 4}","{'saleamt': 4050000, 'salerecdate': '2005-10-11', 'saledisclosuretype': 0, 'saledoctype': 'DEED', 'saledocnum': '0002444462', 'saletranstype': 'Resale'}",6997,sale
9360 BEVERLY CREST DR,9360 BEVERLY CREST DR,"{'bathstotal': 4.0, 'beds': 5}","{'saleamt': 5750000, 'salerecdate': '2024-12-05', 'saledisclosuretype': 0, 'saledocnum': '0000856418', 'saletranstype': 'Resale'}",,sale
9801 EASTON DR,9801 EASTON DR,"{'bathstotal': 2.0, 'beds': 3}","{'saleamt': 1465000, 'salerecdate': '2021-03-11', 'saledisclosuretype': 0, 'saledocnum': '0000398753', 'saletranstype': 'Resale'}",1147,sale
1438 DAVIES DR,1438 DAVIES DR,"{'bathstotal': 2.0, 'beds': 2}","{'saleamt': 2150000, 'salerecdate': '2022-03-15', 'saledisclosuretype': 0, 'saledocnum': '0000298512', 'saletranstype': 'Resale'}",,sale
9333 HAZEN DR,9333 HAZEN DR,"{'bathstotal': 1.0, 'beds': 1}",{'saledisclosuretype': 0},1247,sale
9331 HAZEN DR,9331 HAZEN DR,"{'bathstotal': 1.0, 'beds': 5}","{'salerecdate': '2014-10-22', 'saledisclosuretype': 0, 'saledoctype': 'DEED', 'saledocnum': '0001112630', 'saletranstype': 'Nominal/Quit Claim'}",1000,sale
9810 PORTOLA DR,9810 PORTOLA DR,"{'bathstotal': 1.0, 'beds': 2}",{'saledisclosuretype': 0},935,sale
9805 PORTOLA DR,9805 PORTOLA DR,{},"{'saleamt': 89000, 'salecode': 'SALE PRICE (FULL) Full sales price as per documents', 'salerecdate': '2010-11-08', 'saledisclosuretype': 0, 'saledoctype': 'DEED', 'saledocnum': '0001601309', 'saletranstype': 'Resale'}",,sale
2859 COLDWATER CANYON DR,2859 COLDWATER CANYON DR,"{'bathstotal': 6.0, 'beds': 5}","{'saleamt': 7800000, 'salerecdate': '2024-04-18', 'saledisclosuretype': 0, 'saledocnum': '0000254420', 'saletranstype': 'Resale'}",5082,sale
412 ROBERT LN,412 ROBERT LN,"{'bathstotal': 6.0, 'beds': 4}","{'saleamt': 22000000, 'salecode': 'SALE PRICE (FULL) Full sales price as per documents', 'salerecdate': '2020-07-31', 'saledisclosuretype': 0, 'saledoctype': 'DEED', 'saledocnum': '0000870389', 'saletranstype': 'Resale'}",,sale
9801 WANDA PARK DR,9801 WANDA PARK DR,{},"{'salerecdate': '2023-08-15', 'saledisclosuretype': 0, 'saledocnum': '0000539133', 'saletranstype': 'Resale'}",,sale
2500 SUMMITRIDGE DR,2500 SUMMITRIDGE DR,"{'bathstotal': 1.0, 'beds': 2}",{'saledisclosuretype': 0},1440,sale
257 N CANON DR,257 N CANON DR,{},{'saledisclosuretype': 0},7479,sale
900 N CRESCENT DR,900 N CRESCENT DR,"{'bathstotal': 11.0, 'beds': 7}","{'saleamt': 42112500, 'salerecdate': '2024-02-14', 'saledisclosuretype': 0, 'saledocnum': '0000099279', 'saletranstype': 'Resale'}",44925,sale
1169 N HILLCREST RD,1169 N HILLCREST RD,"{'bathstotal': 8.0, 'beds': 5}","{'salerecdate': '2024-12-13', 'saledisclosuretype': 0, 'saledocnum': '0000888410', 'saletranstype': 'Resale'}",,sale
210 LADERA DR,210 LADERA DR,{},"{'saleamt': 14000000, 'salerecdate': '2006-04-21', 'saledisclosuretype': 0, 'saledoctype': 'DEED', 'saledocnum': '0000875256', 'saletranstype': 'Resale'}",,sale
9508 TULLIS DR,9508 TULLIS DR,"{'bathstotal': 4.0, 'beds': 4}","{'salecode': 'SALE PRICE (FULL) Full sales price as per documents', 'salerecdate': '2014-07-11', 'saledisclosuretype': 0, 'saledoctype': 'DEED', 'saledocnum': '0000717661', 'saletranstype': 'Resale'}",,sale
9985 REEVESBURY DR,9985 REEVESBURY DR,"{'bathstotal': 3.0, 'beds': 2}","{'saleamt': 1600000, 'salerecdate': '2016-06-29', 'saledisclosuretype': 0, 'saledocnum': '0000753341', 'saletranstype': 'Resale'}",,sale
1360 SUMMITRIDGE PL,1360 SUMMITRIDGE PL,"{'bathstotal': 5.0, 'beds': 3}","{'saleamt': 18335000, 'salecode': 'SALE PRICE (FULL) Full sales price as per documents', 'salerecdate': '2016-01-15', 'saledisclosuretype': 0, 'saledoctype': 'DEED', 'saledocnum': '0000050933', 'saletranstype': 'Resale'}",,sale
9510 TULLIS DR,9510 TULLIS DR,"{'bathstotal': 4.0, 'beds': 4}","{'salecode': 'SALE PRICE (FULL) Full sales price as per documents', 'salerecdate': '2014-07-11', 'saledisclosuretype': 0, 'saledoctype': 'DEED', 'saledocnum': '0000717661', 'saletranstype': 'Resale'}",,sale
1051 MARILYN DR,1051 MARILYN DR,"{'bathstotal': 5.0, 'beds': 3}","{'saleamt': 17187500, 'salecode': 'UNKNOWN amount is not present and is not on documents', 'salerecdate': '2004-03-08', 'saledisclosuretype': 0, 'saledoctype': 'MORTGAGE', 'saledocnum': '0000539685', 'saletranstype': 'Resale'}",,sale
13375 MULHOLLAND DR,13375 MULHOLLAND DR,{},"{'saleamt': 500000, 'salecode': 'SALE PRICE (FULL) Full sales price as per documents', 'salerecdate': '2017-02-17', 'saledisclosuretype': 0, 'saledoctype': 'DEED', 'saledocnum': '0000197282', 'saletranstype': 'Resale'}",,sale
