property_title,location,number_of_rooms,price,size,listing_type
9836 YOAKUM DR,9836 YOAKUM DR,"{'bathsFull': 1, 'bathsTotal': 1.0, 'beds': 2, 'roomsTotal': 5}",,,sale
13345 MULHOLLAND DR,13345 MULHOLLAND DR,"{'bathsFull': 2, 'bathsTotal': 2.0, 'beds': 2, 'roomsTotal': 6}",,,sale
2840 N BEVERLY DR,2840 N BEVERLY DR,"{'bathsFull': 8, 'bathsTotal': 8.0, 'beds': 4}",,,sale
9360 BEVERLY CREST DR,9360 BEVERLY CREST DR,"{'bathsFull': 4, 'bathsTotal': 4.0, 'beds': 5}",,,sale
9801 EASTON DR,9801 EASTON DR,"{'bathsFull': 2, 'bathsTotal': 2.0, 'beds': 3}",,,sale
1438 DAVIES DR,1438 DAVIES DR,"{'bathsFull': 2, 'bathsTotal': 2.0, 'beds': 2}",,,sale
9333 HAZEN DR,9333 HAZEN DR,"{'bathsFull': 1, 'bathsTotal': 1.0, 'beds': 1, 'roomsTotal': 3}",,,sale
9331 HAZEN DR,9331 HAZEN DR,"{'bathsFull': 1, 'bathsTotal': 1.0, 'beds': 5, 'roomsTotal': 10}",,,sale
9810 PORTOLA DR,9810 PORTOLA DR,"{'bathsFull': 1, 'bathsTotal': 1.0, 'beds': 2, 'roomsTotal': 6}",,,sale
9805 PORTOLA DR,9805 PORTOLA DR,{},,,sale
2859 COLDWATER CANYON DR,2859 COLDWATER CANYON DR,"{'bathsFull': 6, 'bathsTotal': 6.0, 'beds': 5, 'roomsTotal': 22}",,,sale
412 ROBERT LN,412 ROBERT LN,"{'bathsFull': 6, 'bathsTotal': 6.0, 'beds': 4, 'roomsTotal': 23}",,,sale
9801 WANDA PARK DR,9801 WANDA PARK DR,{},,,sale
2500 SUMMITRIDGE DR,2500 SUMMITRIDGE DR,"{'bathsFull': 1, 'bathsTotal': 1.0, 'beds': 2, 'roomsTotal': 7}",,,sale
257 N CANON DR,257 N CANON DR,{},,,sale
900 N CRESCENT DR,900 N CRESCENT DR,"{'bathsFull': 11, 'bathsTotal': 11.0, 'beds': 7, 'roomsTotal': 27}",,,sale
1169 N HILLCREST RD,1169 N HILLCREST RD,"{'bathsFull': 8, 'bathsTotal': 8.0, 'beds': 5, 'roomsTotal': 26}",,,sale
210 LADERA DR,210 LADERA DR,{},,,sale
9508 TULLIS DR,9508 TULLIS DR,"{'bathsFull': 4, 'bathsTotal': 4.0, 'beds': 4}",,,sale
9985 REEVESBURY DR,9985 REEVESBURY DR,"{'bathsFull': 3, 'bathsTotal': 3.0, 'beds': 2, 'roomsTotal': 2}",,,sale
1360 SUMMITRIDGE PL,1360 SUMMITRIDGE PL,"{'bathsFull': 5, 'bathsTotal': 5.0, 'beds': 3}",,,sale
9510 TULLIS DR,9510 TULLIS DR,"{'bathsFull': 4, 'bathsTotal': 4.0, 'beds': 4, 'roomsTotal': 13}",,,sale
1051 MARILYN DR,1051 MARILYN DR,"{'bathsFull': 5, 'bathsTotal': 5.0, 'beds': 3, 'roomsTotal': 15}",,,sale
13375 MULHOLLAND DR,13375 MULHOLLAND DR,{},,,sale
13411 JAVA DR,13411 JAVA DR,"{'bathsFull': 3, 'bathsTotal': 3.0, 'beds': 3, 'roomsTotal': 11}",,,sale
1054 ANGELO DR,1054 ANGELO DR,"{'bathsFull': 4, 'bathsTotal': 4.0, 'beds': 3, 'roomsTotal': 14}",,,sale
13741 MULHOLLAND DR,13741 MULHOLLAND DR,"{'bathsFull': 4, 'bathsTotal': 4.0, 'beds': 2, 'roomsTotal': 5}",,,sale
1414 DAWNRIDGE DR,1414 DAWNRIDGE DR,"{'bathsFull': 6, 'bathsTotal': 6.0, 'beds': 5}",,,sale
1041 MARILYN DR,1041 MARILYN DR,"{'bathsFull': 5, 'bathsTotal': 5.0, 'beds': 4, 'roomsTotal': 14}",,,sale
12900 MULHOLLAND DR,12900 MULHOLLAND DR,"{'bathsFull': 4, 'bathsTotal': 4.0, 'beds': 3, 'roomsTotal': 12}",,,sale
1645 N BEVERLY DR,1645 N BEVERLY DR,"{'bathsFull': 4, 'bathsTotal': 4.0, 'beds': 4, 'roomsTotal': 6}",,,sale
1264 ANGELO DR,1264 ANGELO DR,"{'bathsFull': 4, 'bathsTotal': 4.0, 'beds': 3, 'roomsTotal': 13}",,,sale
9821 YOAKUM DR,9821 YOAKUM DR,"{'bathsFull': 2, 'bathsTotal': 2.0, 'beds': 1, 'roomsTotal': 7}",,,sale
718 N OAKHURST DR,718 N OAKHURST DR,"{'bathsFull': 3, 'bathsTotal': 3.0, 'beds': 3, 'roomsTotal': 12}",,,sale
1046 N HILLCREST RD,1046 N HILLCREST RD,{},,,sale
1071 N HILLCREST RD,1071 N HILLCREST RD,{},,,sale
1157 N HILLCREST RD,1157 N HILLCREST RD,"{'bathsFull': 5, 'bathsTotal': 5.0, 'beds': 3, 'roomsTotal': 16}",,,sale
1627 BENEDICT CANYON DR,1627 BENEDICT CANYON DR,{},,,sale
9491 SUNSET BLVD,9491 SUNSET BLVD,"{'bathsFull': 9, 'bathsTotal': 9.0, 'beds': 9, 'roomsTotal': 18}",,,sale
13200 MULHOLLAND DR,13200 MULHOLLAND DR,"{'bathsFull': 5, 'bathsTotal': 5.0, 'beds': 3}",,,sale
10111 WESTWANDA DR,10111 WESTWANDA DR,"{'bathsFull': 4, 'bathsTotal': 4.0, 'beds': 5}",,,sale
602 MOUNTAIN DR,602 MOUNTAIN DR,"{'bathsFull': 4, 'bathsTotal': 4.5, 'beds': 5, 'roomsTotal': 21}",,,sale
1427 LAUREL WAY,1427 LAUREL WAY,"{'bathsFull': 5, 'bathsTotal': 5.0, 'beds': 5, 'roomsTotal': 13}",,,sale
